Id,SalePrice
1461,120500
1462,153500
1463,185000
1464,187000
1465,191000
1466,174000
1467,162500
1468,178000
1469,167000
1470,156000
1471,162000
1472,85400
1473,85400
1474,148500
1475,156000
1476,320000
1477,253293
1478,227875
1479,233170
1480,386250
1481,284000
1482,202500
1483,186000
1484,167240
1485,184100
1486,189000
1487,315000
1488,232000
1489,178000
1490,177500
1491,195000
1492,83000
1493,158900
1494,290000
1495,745000
1496,148500
1497,146000
1498,173733
1499,164000
1500,164000
1501,177000
1502,203000
1503,367294
1504,250000
1505,262500
1506,185000
1507,256000
1508,134432
1509,117000
1510,124000
1511,180500
1512,179900
1513,274970
1514,163500
1515,142600
1516,126000
1517,187500
1518,135000
1519,224900
1520,139000
1521,148000
1522,142000
1523,109900
1524,128900
1525,83000
1526,94750
1527,102000
1528,105000
1529,150750
1530,167000
1531,234000
1532,94750
1533,143000
1534,158000
1535,119000
1536,207000
1537,89500
1538,208900
1539,235000
1540,136000
1541,130500
1542,133000
1543,177000
1544,79000
1545,119000
1546,110000
1547,133000
1548,219500
1549,101000
1550,152000
1551,135000
1552,163000
1553,143000
1554,135000
1555,210000
1556,115000
1557,140000
1558,110000
1559,135000
1560,137450
1561,118000
1562,134800
1563,123000
1564,197900
1565,128200
1566,256000
1567,82000
1568,187500
1569,257500
1570,150000
1571,169500
1572,129000
1573,239686
1574,217000
1575,170000
1576,211000
1577,194500
1578,140000
1579,119900
1580,157000
1581,161750
1582,123000
1583,271000
1584,236000
1585,140000
1586,86000
1587,102000
1588,180500
1589,140000
1590,160000
1591,115000
1592,127000
1593,132500
1594,272000
1595,84000
1596,157900
1597,154300
1598,170000
1599,144000
1600,176000
1601,86000
1602,219500
1603,102000
1604,275000
1605,306000
1606,171500
1607,87000
1608,377426
1609,179900
1610,167500
1611,168500
1612,186000
1613,181000
1614,123000
1615,97000
1616,89500
1617,97000
1618,123600
1619,117500
1620,151400
1621,143000
1622,175000
1623,210000
1624,204750
1625,62383
1626,167900
1627,177500
1628,236000
1629,163900
1630,148500
1631,191000
1632,191000
1633,184100
1634,185000
1635,185000
1636,99500
1637,235000
1638,194500
1639,181500
1640,260000
1641,181500
1642,253000
1643,263000
1644,250000
1645,223000
1646,167900
1647,140000
1648,176000
1649,148000
1650,123000
1651,132500
1652,85400
1653,133000
1654,155000
1655,147000
1656,146000
1657,155000
1658,148500
1659,125000
1660,180500
1661,354000
1662,339750
1663,233230
1664,611657
1665,280000
1666,354000
1667,383970
1668,255500
1669,377500
1670,320000
1671,354000
1672,339750
1673,284000
1674,377500
1675,143000
1676,196000
1677,203000
1678,372402
1679,386250
1680,319000
1681,319900
1682,386250
1683,192000
1684,179540
1685,163990
1686,160200
1687,189000
1688,192500
1689,196000
1690,225000
1691,188500
1692,275000
1693,184100
1694,193000
1695,180000
1696,287000
1697,180000
1698,333168
1699,745000
1700,248000
1701,290000
1702,255500
1703,232000
1704,412500
1705,192000
1706,339750
1707,250580
1708,262500
1709,233230
1710,262500
1711,310000
1712,274725
1713,320000
1714,262500
1715,171900
1716,158000
1717,142500
1718,84500
1719,194500
1720,274900
1721,144000
1722,84500
1723,173000
1724,248900
1725,236000
1726,201000
1727,153900
1728,227000
1729,204000
1730,184000
1731,188700
1732,112000
1733,144000
1734,145900
1735,108000
1736,146500
1737,280000
1738,210000
1739,130000
1740,208300
1741,199900
1742,143000
1743,210000
1744,230000
1745,170000
1746,275000
1747,242000
1748,200000
1749,181500
1750,187500
1751,165000
1752,100000
1753,153500
1754,176000
1755,137500
1756,123000
1757,112500
1758,150750
1759,142600
1760,163000
1761,153500
1762,189000
1763,163000
1764,128200
1765,153500
1766,155000
1767,157500
1768,135000
1769,143000
1770,179500
1771,139000
1772,143000
1773,139000
1774,110000
1775,139000
1776,155000
1777,124500
1778,123000
1779,159500
1780,105000
1781,91000
1782,109900
1783,163000
1784,117000
1785,126175
1786,110000
1787,197000
1788,113000
1789,109500
1790,110000
1791,200000
1792,157900
1793,131500
1794,123000
1795,139000
1796,144500
1797,91000
1798,103200
1799,138000
1800,145000
1801,163000
1802,159000
1803,175000
1804,135000
1805,94750
1806,137500
1807,190000
1808,117000
1809,170000
1810,219500
1811,137000
1812,134900
1813,219500
1814,105000
1815,35311
1816,98000
1817,163000
1818,136000
1819,98000
1820,84000
1821,137500
1822,143000
1823,107000
1824,137500
1825,127000
1826,98000
1827,119000
1828,137450
1829,132000
1830,135000
1831,145000
1832,143750
1833,139500
1834,116500
1835,164000
1836,265979
1837,123000
1838,130000
1839,145000
1840,179000
1841,150000
1842,139500
1843,150000
1844,143250
1845,126000
1846,148000
1847,177000
1848,39300
1849,159500
1850,128900
1851,154000
1852,120000
1853,193000
1854,151000
1855,143500
1856,194500
1857,143500
1858,184000
1859,173500
1860,153337
1861,173500
1862,335000
1863,335000
1864,335000
1865,170000
1866,230000
1867,236500
1868,208900
1869,272000
1870,412500
1871,228500
1872,163990
1873,194500
1874,123600
1875,260000
1876,211000
1877,226000
1878,236500
1879,148000
1880,136500
1881,354000
1882,237000
1883,196500
1884,223500
1885,261500
1886,328900
1887,210000
1888,235000
1889,163990
1890,160000
1891,145000
1892,188700
1893,135000
1894,136500
1895,100000
1896,124900
1897,112500
1898,219500
1899,139950
1900,130500
1901,124900
1902,166000
1903,244400
1904,180500
1905,155000
1906,118000
1907,170000
1908,124000
1909,110500
1910,124000
1911,165600
1912,228000
1913,122500
1914,86000
1915,275000
1916,60000
1917,271000
1918,115000
1919,134450
1920,179200
1921,385000
1922,305900
1923,215000
1924,215000
1925,274725
1926,385000
1927,169900
1928,129000
1929,144000
1930,144000
1931,97000
1932,143000
1933,149000
1934,211000
1935,187500
1936,193000
1937,185000
1938,179200
1939,286000
1940,196000
1941,181000
1942,165600
1943,191000
1944,377426
1945,374000
1946,143000
1947,209500
1948,137000
1949,175500
1950,230000
1951,262000
1952,205000
1953,181500
1954,192000
1955,124000
1956,335000
1957,87000
1958,317000
1959,163000
1960,110000
1961,130000
1962,89000
1963,89000
1964,119500
1965,146000
1966,164000
1967,320000
1968,354000
1969,378500
1970,354000
1971,402861
1972,451950
1973,287000
1974,354000
1975,170000
1976,354000
1977,280000
1978,386250
1979,319000
1980,185500
1981,250000
1982,254000
1983,227000
1984,185000
1985,377500
1986,175900
1987,167240
1988,178900
1989,183500
1990,192500
1991,203000
1992,271000
1993,179540
1994,271000
1995,183500
1996,174000
1997,333168
1998,348000
1999,268000
2000,290000
2001,250000
2002,311872
2003,270000
2004,226000
2005,203000
2006,229456
2007,255500
2008,189000
2009,187000
2010,195000
2011,84500
2012,196000
2013,187000
2014,193000
2015,185900
2016,196000
2017,248000
2018,131000
2019,123000
2020,123000
2021,138000
2022,243000
2023,210000
